age Range	25th Percentile BMI	Median BMI	75th Percentile BMI	Average BMI
2-3	15.6	16.3	17.2	16.5
4-5	15.3	16.1	17.3	16.5
6-7	15.0	16.1	18.4	17.2
8-9	15.8	17.3	19.8	18.3
10-11	16.8	19.2	22.4	20.2
12-13	18.2	20.6	25.1	22.0
14-15	19.4	22.0	25.6	23.4
16-17	21.2	24.1	27.8	25.3
18-24	21.9	25.5	30.7	27.1
25-29	22.5	26.4	31.7	27.9
30-34	24.4	28.1	33.5	29.6
35-39	24.7	29.0	34.3	30.2
40-44	24.6	29.1	33.4	30.1
45-49	25.2	28.6	33.1	29.7
50-54	24.9	29.1	33.6	30.1
55-59	25.0	29.2	33.1	29.8
60-64	24.3	28.9	34.2	30.5
65-69	25.7	29.0	33.8	30.0
70-74	25.6	28.6	33.0	29.8
75+	24.1	27.5	31.2	28.1
