code, ingredient_group, real_product
11090,broccoli,broccoli%raw
11093,broccoli,broccoli%frozen%chopped%cooked%boiled%drained%without salt
11994,broccoli,broccoli%chinese%raw
22535,broccoli,hot pockets%croissant pockets chicken%broccoli%and cheddar stuffed sandwich%frozen
11156,chives,chives%raw
11477,zucchini,squash%summer%zucchini%includes skin%raw
11480,zucchini,squash%summer%zucchini%includes skin%frozen%cooked%boiled%drained%without salt
3098,beets,babyfood%vegetables%beets%strained
11080,beets,beets%raw
11084,beets,beets%canned%drained solids
11609,beets,beets%pickled%canned%solids and liquids
11735,beets,beets%canned%no salt added%solids and liquids
15077,salmon,fish%salmon%chinook%smoked
15080,salmon,fish%salmon%chum%canned%drained solids with bone
15083,salmon,fish%salmon%pink%raw
15084,salmon,fish%salmon%pink%canned%total can contents
15085,salmon,fish%salmon%sockeye%raw
15087,salmon,fish%salmon%sockeye%canned%drained solids
11215,garlic,garlic%raw
3002,beef,babyfood%meat%beef%strained
3003,beef,babyfood%meat%beef%junior
6116,beef,gravy%beef%canned%ready-to-serve
6170,beef,soup%stock%beef%home-prepared
7007,beef,bologna%beef
7022,beef,frankfurter%beef%unheated
7038,beef,knackwurst%knockwurst%pork%beef
7050,beef,mortadella%beef%pork
7072,beef,salami%dry or hard%pork%beef
7073,beef,sandwich spread%pork%beef
7078,beef,thuringer%cervelat%summer sausage%beef%pork
7083,beef,sausage%vienna%canned%chicken%beef%pork
7905,beef,frankfurter%beef%pork%and turkey%fat free
7954,beef,sausage%breakfast sausage%beef%pre-cooked%unprepared
13020,beef,beef%retail cuts%separable fat%cooked
13068,beef,beef%flank%steak%separable lean only%trimmed to 0 fat%choice%raw
13069,beef,beef%flank%steak%separable lean only%trimmed to 0 fat%choice%cooked%braised
13148,beef,beef%rib%shortribs%separable lean and fat%choice%cooked%braised
13150,beef,beef%rib%shortribs%separable lean only%choice%cooked%braised
13317,beef,beef%ground%patties%frozen%cooked%broiled
13320,beef,beef%variety meats and by-products%brain%cooked%simmered
13322,beef,beef%variety meats and by-products%heart%cooked%simmered
13324,beef,beef%variety meats and by-products%kidneys%cooked%simmered
13326,beef,beef%variety meats and by-products%liver%cooked%braised
13327,beef,beef%variety meats and by-products%liver%cooked%pan-fried
13340,beef,beef%variety meats and by-products%tongue%cooked%simmered
13341,beef,beef%variety meats and by-products%tripe%raw
13345,beef,beef%cured%breakfast strips%cooked
13347,beef,beef%cured%corned beef%brisket%cooked
13348,beef,beef%cured%corned beef%canned
13350,beef,beef%cured%dried
13355,beef,beef%cured%pastrami
13364,beef,beef%composite of trimmed retail cuts%separable lean only%trimmed to 0 fat%all grades%cooked
13367,beef,beef%brisket%whole%separable lean and fat%trimmed to 0 fat%all grades%cooked%braised
13368,beef,beef%brisket%whole%separable lean only%trimmed to 0 fat%all grades%cooked%braised
13382,beef,beef%chuck%blade roast%separable lean only%trimmed to 0 fat%all grades%cooked%braised
13424,beef,beef%round%tip round%roast%separable lean only%trimmed to 0 fat%all grades%cooked%roasted
